"treeID","stemID","tag","StemTag","sp","quadrat","gx","gy","dbh","hom","ExactDate","DFstatus","codes","date","status","agb","plot","census","plotID"
453957,968680,"005567","","oenoma","1637",328.6,751.8,NA,NA,NA,NA,NA,17610,"V",0,"gigante2",5,157
453958,968681,"005568","","oenoma","1637",328.5,746.5,NA,NA,NA,NA,NA,17610,"V",0,"gigante2",5,157
453962,968682,"005572","","oenoma","1737",354.1,741.3,NA,NA,NA,NA,NA,17618,"V",0,"gigante2",5,157
453963,968683,"005573","","coccpa","1737",354.4,745.4,NA,NA,NA,NA,NA,17618,"V",0,"gigante2",5,157
453965,968684,"005575","2","oenoma","1737",359.1,749.3,NA,NA,NA,NA,NA,17618,"P",0,"gigante2",5,157
453969,968685,"005579","","oenoma","1736",346.4,725.3,NA,NA,NA,NA,NA,17616,"V",0,"gigante2",5,157
454030,968686,"011190","1","sloazu","1636",339.5,739.3,NA,NA,NA,NA,NA,17609,"P",0,"gigante2",5,157
454033,968687,"011193","2","oenoma","1636",339.6,735.3,NA,NA,NA,NA,NA,17609,"P",0,"gigante2",5,157
454040,968688,"011200","","pipecu","1736",342.5,730.3,NA,1.3,"2008-03-25","dead","D;N",17616,"D",0,"gigante2",5,157
454041,968689,"011201","","oenoma","1736",340.3,734.7,NA,NA,NA,NA,NA,17616,"V",0,"gigante2",5,157
454091,968690,"011251","","oenoma","1736",349.6,735.6,NA,NA,NA,NA,NA,17616,"V",0,"gigante2",5,157
454130,968691,"014004","","oenoma","1535",308.2,714.9,NA,NA,NA,NA,NA,17595,"V",0,"gigante2",5,157
454135,968692,"014010","","oenoma","1535",312.1,709.8,NA,NA,NA,NA,NA,17595,"V",0,"gigante2",5,157
454138,968693,"014013","2","oenoma","1535",313.2,719.5,NA,NA,NA,NA,NA,17595,"P",0,"gigante2",5,157
454140,968694,"014015","","oenoma","1535",319.2,710.3,NA,NA,NA,NA,NA,17595,"V",0,"gigante2",5,157
454141,968695,"014016","","oenoma","1535",319.7,711.5,NA,NA,NA,NA,NA,17595,"V",0,"gigante2",5,157
454149,968696,"014024","","oenoma","1536",307.2,720.3,NA,NA,NA,NA,NA,17595,"V",0,"gigante2",5,157
